view,track_id,start_frame,end_frame,start_time,end_time,num_detections
view1,2011,3907,3910,156.28,156.40,4
view2,-1,113,3468,4.52,138.72,13
view2,2016,114,509,4.56,20.36,330
view2,2018,235,235,9.40,9.40,1
view2,2029,295,298,11.80,11.92,3
view2,2039,339,339,13.56,13.56,1
view2,2040,340,517,13.60,20.68,166
view2,2042,346,346,13.84,13.84,1
view2,2048,414,444,16.56,17.76,6
view2,2055,511,511,20.44,20.44,1
view2,2059,517,1404,20.68,56.16,747
view2,2061,524,524,20.96,20.96,1
view2,2062,526,526,21.04,21.04,1
view2,2068,559,954,22.36,38.16,291
view2,2080,584,585,23.36,23.40,2
view2,2081,616,616,24.64,24.64,1
view2,2085,635,682,25.40,27.28,5
view2,2098,700,783,28.00,31.32,67
view2,2133,796,823,31.84,32.92,4
view2,2135,798,801,31.92,32.04,3
view2,2158,827,1109,33.08,44.36,183
view2,2167,839,847,33.56,33.88,2
view2,2177,854,862,34.16,34.48,8
view2,2186,865,866,34.60,34.64,2
view2,2190,878,883,35.12,35.32,2
view2,2195,892,895,35.68,35.80,3
view2,2204,904,904,36.16,36.16,1
view2,2217,945,951,37.80,38.04,7
view2,2223,966,1095,38.64,43.80,105
view2,2264,1128,1140,45.12,45.60,6
view2,2265,1146,1146,45.84,45.84,1
view2,2268,1138,1178,45.52,47.12,12
view2,2273,1142,1143,45.68,45.72,2
view2,2280,1147,1154,45.88,46.16,8
view2,2283,1156,1175,46.24,47.00,6
view2,2301,1178,1268,47.12,50.72,36
view2,2306,1192,1228,47.68,49.12,33
view2,2311,1203,1263,48.12,50.52,48
view2,2326,1228,1230,49.12,49.20,3
view2,2327,1233,1234,49.32,49.36,2
view2,2333,1250,1257,50.00,50.28,4
view2,2337,1255,1255,50.20,50.20,1
view2,2344,1260,1546,50.40,61.84,212
view2,2368,1280,1318,51.20,52.72,6
view2,2383,1317,1322,52.68,52.88,3
view2,2387,1328,1445,53.12,57.80,89
view2,2395,1337,1520,53.48,60.80,143
view2,2446,1386,1386,55.44,55.44,1
view2,2453,1400,1400,56.00,56.00,1
view2,2454,1402,1423,56.08,56.92,5
view2,2458,1409,1551,56.36,62.04,45
view2,2474,1425,1425,57.00,57.00,1
view2,2479,1433,1433,57.32,57.32,1
view2,2484,1445,1532,57.80,61.28,66
view2,2491,1453,1535,58.12,61.40,26
view2,2492,1455,1456,58.20,58.24,2
view2,2509,1477,1489,59.08,59.56,8
view2,2521,1500,1501,60.00,60.04,2
view2,2538,1529,1709,61.16,68.36,142
view2,2540,1537,1774,61.48,70.96,200
view2,2548,1545,1631,61.80,65.24,45
view2,2561,1562,1695,62.48,67.80,81
view2,2562,1563,1743,62.52,69.72,124
view2,2585,1610,1615,64.40,64.60,6
view2,2591,1647,1647,65.88,65.88,1
view2,2594,1649,1659,65.96,66.36,10
view2,2597,1653,1681,66.12,67.24,9
view2,2619,1683,1690,67.32,67.60,5
view2,2623,1692,1692,67.68,67.68,1
view2,2641,1712,1728,68.48,69.12,3
view2,2649,1717,1738,68.68,69.52,4
view2,2660,1724,1752,68.96,70.08,11
view2,2663,1731,1751,69.24,70.04,16
view2,2676,1741,1748,69.64,69.92,3
view2,2681,1745,1745,69.80,69.80,1
view2,2690,1753,1762,70.12,70.48,10
view2,2691,1753,2024,70.12,80.96,204
view2,2696,1764,1777,70.56,71.08,14
view2,2709,1777,1803,71.08,72.12,12
view2,2712,1778,1796,71.12,71.84,14
view2,2714,1782,1958,71.28,78.32,152
view2,2724,1795,1803,71.80,72.12,6
view2,2725,1797,1987,71.88,79.48,164
view2,2730,1798,1798,71.92,71.92,1
view2,2731,1798,1822,71.92,72.88,18
view2,2752,1861,1861,74.44,74.44,1
view2,2759,1866,2026,74.64,81.04,99
view2,2763,1872,1908,74.88,76.32,4
view2,2764,1877,1877,75.08,75.08,1
view2,2805,1955,1956,78.20,78.24,2
view2,2816,1971,2045,78.84,81.80,65
view2,2817,1974,1987,78.96,79.48,11
view2,2840,2003,2067,80.12,82.68,7
view2,2855,2012,2184,80.48,87.36,89
view2,2861,2021,2077,80.84,83.08,18
view2,2881,2047,2306,81.88,92.24,182
view2,2898,2059,2197,82.36,87.88,87
view2,2911,2067,2170,82.68,86.80,66
view2,2915,2070,2071,82.80,82.84,2
view2,2919,2077,2080,83.08,83.20,4
view2,2920,2078,2082,83.12,83.28,4
view2,2931,2083,2083,83.32,83.32,1
view2,2933,2084,2101,83.36,84.04,4
view2,2935,2094,2362,83.76,94.48,194
view2,2963,2148,2148,85.92,85.92,1
view2,2984,2198,2198,87.92,87.92,1
view2,2997,2216,2675,88.64,107.00,305
view2,2998,2229,2232,89.16,89.28,3
view2,3022,2267,2342,90.68,93.68,22
view2,3026,2288,2302,91.52,92.08,10
view2,3035,2300,2309,92.00,92.36,6
view2,3056,2323,2459,92.92,98.36,102
view2,3059,2329,2331,93.16,93.24,2
view2,3064,2336,2340,93.44,93.60,4
view2,3072,2347,2355,93.88,94.20,9
view2,3075,2357,2456,94.28,98.24,60
view2,3079,2365,2372,94.60,94.88,4
view2,3085,2376,2476,95.04,99.04,38
view2,3104,2401,2485,96.04,99.40,18
view2,3110,2410,2410,96.40,96.40,1
view2,3116,2430,2442,97.20,97.68,6
view2,3117,2419,2421,96.76,96.84,3
view2,3118,2421,2455,96.84,98.20,13
view2,3120,2429,2446,97.16,97.84,6
view2,3133,2455,2484,98.20,99.36,12
view2,3135,2462,2970,98.48,118.80,278
view2,3136,2458,2473,98.32,98.92,16
view2,3148,2465,2703,98.60,108.12,194
view2,3176,2488,2570,99.52,102.80,46
view2,3181,2491,2491,99.64,99.64,1
view2,3194,2499,2562,99.96,102.48,5
view2,3211,2521,2525,100.84,101.00,2
view2,3219,2526,3057,101.04,122.28,328
view2,3220,2527,2532,101.08,101.28,4
view2,3226,2532,2532,101.28,101.28,1
view2,3237,2546,2546,101.84,101.84,1
view2,3291,2664,2675,106.56,107.00,7
view2,3310,2722,2776,108.88,111.04,44
view2,3330,2730,2750,109.20,110.00,2
view2,3331,2730,2988,109.20,119.52,211
view2,3366,2796,2831,111.84,113.24,14
view2,3367,2809,2809,112.36,112.36,1
view2,3378,2819,2848,112.76,113.92,9
