frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
297,4164,302.79,0.0,347.96,195.11,0.7583,0.3791,3.9812,28.9699,0.0,0.2885
298,4164,302.14,0.0,348.91,195.66,0.8638,0.4319,3.9636,29.021,0.0,0.3295
299,4164,299.92,0.0,350.22,204.73,0.7671,0.3836,3.6759,29.467,24.916,0.295
300,4164,297.31,0.0,350.7,211.22,0.7334,0.3667,3.4875,29.7242,25.9878,0.29
301,4164,296.96,0.0,349.95,202.37,0.7847,0.3923,3.736,29.0922,155.1219,0.1804
302,4164,295.69,0.0,349.41,199.28,0.8516,0.4258,3.8259,28.7798,0.0,0.333
303,4164,294.88,0.0,349.62,197.86,0.8003,0.4002,3.8694,28.655,0.0,0.3108
304,4164,293.82,0.0,349.04,195.56,0.4312,0.2156,3.9397,28.4055,0.0,0.1656
305,4164,292.02,0.0,348.33,196.23,0.895,0.4475,3.9092,28.2547,0.0,0.3456
306,4164,290.69,0.0,347.39,195.56,0.9102,0.4551,3.924,28.0471,0.0,0.3509
307,4164,289.52,0.0,346.28,194.96,0.8901,0.4451,3.9367,27.8419,0.0,0.3426
308,4164,288.19,0.18,344.96,194.75,0.8618,0.4309,3.9351,27.6298,0.0,0.3321
309,4164,287.42,0.07,344.08,194.6,0.8794,0.4397,3.9349,27.4962,0.0,0.339
310,4164,285.96,0.0,342.38,194.28,0.8433,0.4217,3.9355,27.2378,0.0,0.3254
311,4164,284.46,0.0,340.53,194.27,0.8677,0.4339,3.9252,26.9816,0.0,0.3357
312,4164,282.89,0.0,338.69,194.56,0.7334,0.3667,3.9047,26.7377,0.0,0.2849
313,4164,281.16,0.0,336.62,194.69,0.6982,0.3491,3.8886,26.4541,0.0,0.2723
314,4164,279.41,0.0,334.42,194.74,0.8125,0.4062,3.8748,26.1535,0.0,0.3179
315,4164,275.45,0.02,330.3,193.47,0.3657,0.1829,3.8929,25.449,0.0,0.143
316,4164,272.6,0.0,323.5,174.35,0.6416,0.3208,4.6184,23.6489,158.637,0.1143
317,4164,268.31,0.06,322.77,185.85,0.4561,0.2281,4.121,23.8209,22.491,0.1665
318,4164,267.88,0.18,318.9,171.26,0.7808,0.3904,4.7343,22.7327,159.6831,0.1339
319,4164,265.86,0.71,320.61,186.45,0.8647,0.4324,4.0847,23.4831,22.7019,0.3179
320,4164,262.43,1.53,318.06,190.97,0.6724,0.3362,3.9052,23.293,25.5968,0.2531
321,4164,262.87,1.86,317.65,191.84,0.8535,0.4268,3.8754,23.355,0.0,0.3368
322,4164,262.41,1.61,316.16,191.6,0.8086,0.4043,3.8782,23.1831,0.0,0.3191
323,-1,266.62,1.34,309.38,95.91,0.3452,0.1726,17.3523,23.0126,0.0,0.1105
324,4164,259.52,1.63,311.19,187.08,0.7163,0.3582,4.0165,22.2409,148.3191,0.1575
325,4164,260.36,1.35,307.1,169.11,0.625,0.3125,4.7783,20.9784,160.0984,0.1065
