view,stitched_track_id,original_track_ids,start_frame,end_frame,start_time,end_time,num_detections
view2,39,[2763],1872,1908,74.88,76.32,4
view2,40,[2764],1877,1877,75.08,75.08,1
view2,41,[2805],1955,1956,78.20,78.24,2
view2,42,[2817],1974,1987,78.96,79.48,11
view2,43,"[2840, 2911]",2003,2170,80.12,86.80,73
view2,44,"[2855, 2984]",2012,2198,80.48,87.92,90
view2,45,"[2861, 2919, 2931, 2933]",2021,2101,80.84,84.04,27
view2,46,[2898],2059,2197,82.36,87.88,87
view2,47,"[2915, 2920, 2935, 3079, 3085, 3176]",2070,2570,82.80,102.80,288
view2,48,[2963],2148,2148,85.92,85.92,1
view2,49,[2997],2216,2675,88.64,107.00,305
view2,50,[2998],2229,2232,89.16,89.28,3
view2,51,"[3022, 3072, 3075, 3136]",2267,2473,90.68,98.92,107
view2,52,[3026],2288,2302,91.52,92.08,10
view2,53,"[3035, 3056, 3135]",2300,2970,92.00,118.80,386
view2,54,"[3059, 3064]",2329,2340,93.16,93.60,6
view2,55,"[3104, 3181, 3194]",2401,2562,96.04,102.48,24
view2,56,"[3110, 3117, 3118, 3133]",2410,2484,96.40,99.36,29
view2,57,[3120],2429,2446,97.16,97.84,6
view2,58,[3116],2430,2442,97.20,97.68,6
view2,59,[3148],2465,2703,98.60,108.12,194
view2,60,"[3211, 3219, 3557]",2521,3186,100.84,127.44,439
view2,61,"[3220, 3226, 3237]",2527,2546,101.08,101.84,6
view2,62,[3291],2664,2675,106.56,107.00,7
view2,63,[3310],2722,2776,108.88,111.04,44
view2,64,[3330],2730,2750,109.20,110.00,2
view2,65,"[3331, 3496, 3564, 3592]",2730,3239,109.20,129.56,326
view2,66,"[3366, 3391, 3398]",2796,3366,111.84,134.64,430
view2,67,"[3367, 3378]",2809,2848,112.36,113.92,10
view2,68,[3379],2830,2833,113.20,113.32,3
view2,69,"[3436, 3437]",2893,2917,115.72,116.68,6
view2,70,[3451],2908,2917,116.32,116.68,3
view2,71,[3457],2915,2921,116.60,116.84,3
view2,72,[3478],2954,2968,118.16,118.72,3
view2,73,[3479],2955,2957,118.20,118.28,3
view2,74,"[3497, 3539]",2990,3037,119.60,121.48,32
view2,75,"[3518, 3529, 3670, 3703, 3820, 3831, 3892, 3895]",3011,3638,120.44,145.52,392
view2,76,"[3575, 3593, 3597]",3086,3143,123.44,125.72,30
view2,77,[3604],3132,3146,125.28,125.84,4
view2,78,"[3638, 3642, 3761, 3794, 3807, 4028, 4029, 4148]",3183,3913,127.32,156.52,568
view2,79,"[3651, 3675]",3198,3227,127.92,129.08,4
view2,80,"[3691, 3719, 3734]",3266,3307,130.64,132.28,25
view2,81,"[3706, 3709]",3281,3287,131.24,131.48,2
view2,82,[3736],3306,3365,132.24,134.60,25
view2,83,"[3752, 3796, 3798, 3912, 3951, 3990, 4102]",3339,3913,133.56,156.52,324
view2,84,"[3755, 3771, 3776, 3826]",3342,3433,133.68,137.32,64
view2,85,[3780],3392,3411,135.68,136.44,17
view2,86,[3849],3470,3572,138.80,142.88,57
view2,87,"[3860, 3899, 3926, 3928, 3932, 4037, 4040]",3497,3913,139.88,156.52,190
view2,88,[3877],3510,3644,140.40,145.76,68
view2,89,[3879],3512,3524,140.48,140.96,12
view2,90,[3884],3519,3519,140.76,140.76,1
view2,91,[3924],3613,3615,144.52,144.60,3
view2,92,[3964],3673,3742,146.92,149.68,44
view2,93,"[3974, 4137]",3697,3913,147.88,156.52,153
view2,94,"[4009, 4018]",3734,3741,149.36,149.64,5
view2,95,"[4041, 4052]",3759,3769,150.36,150.76,5
view2,96,[4053],3766,3781,150.64,151.24,9
view2,97,[4114],3876,3912,155.04,156.48,21
view3,1,[-1],150,838,6.00,33.52,9
view3,2,[4153],159,255,6.36,10.20,95
view3,3,"[4164, 4252]",290,853,11.60,34.12,525
view3,4,"[4178, 4198]",376,635,15.04,25.40,235
view3,5,[4189],428,430,17.12,17.20,2
view3,6,[4212],656,762,26.24,30.48,99
view3,7,"[4217, 4222]",708,820,28.32,32.80,90
view3,8,"[4229, 4264, 4294]",761,1056,30.44,42.24,248
view3,9,"[4256, 4270]",840,972,33.60,38.88,123
view3,10,[4261],845,846,33.80,33.84,2
view3,11,"[4268, 4367]",922,1513,36.88,60.52,511
view3,12,"[4285, 4288, 4311, 4315, 4345, 4346, 4389, 4391]",1016,1469,40.64,58.76,397
view3,13,[4297],1095,1100,43.80,44.00,3
view3,14,"[4307, 4418, 4419]",1117,1711,44.68,68.44,543
view3,15,[4319],1166,1377,46.64,55.08,210
view3,16,"[4397, 4450, 4451]",1445,1785,57.80,71.40,304
view3,17,"[4407, 4438, 4442]",1461,1607,58.44,64.28,102
view3,18,[4408],1462,1470,58.48,58.80,7
view3,19,[4423],1506,2251,60.24,90.04,659
view3,20,"[4429, 4432]",1536,1698,61.44,67.92,130
view3,21,[4460],1683,1689,67.32,67.56,6
view3,22,[4475],1714,1926,68.56,77.04,193
view3,23,[4483],1738,2094,69.52,83.76,295
view3,24,[4501],1815,2021,72.60,80.84,157
view3,25,"[4509, 4513, 4514]",1868,1908,74.72,76.32,16
view3,26,[4524],1951,1952,78.04,78.08,2
view3,27,"[4543, 4559, 4693]",1989,2576,79.56,103.04,454
view3,28,[4545],1991,2013,79.64,80.52,16
view3,29,"[4561, 4570, 4612, 4636]",2053,2394,82.12,95.76,297
view3,30,"[4586, 4588]",2112,2143,84.48,85.72,28
view3,31,"[4594, 4597, 4640]",2169,2810,86.76,112.40,432
view3,32,"[4603, 4618]",2194,2247,87.76,89.88,42
view3,33,"[4627, 4664]",2270,2420,90.80,96.80,143
view3,34,"[4629, 4632, 4685]",2309,2531,92.36,101.24,157
view3,35,[4650],2381,2381,95.24,95.24,1
view3,36,[4676],2460,2635,98.40,105.40,104
view3,37,[4678],2475,2582,99.00,103.28,95
view3,38,[4699],2551,2657,102.04,106.28,72
view3,39,"[4739, 4746, 4773, 4774, 4788]",2601,2857,104.04,114.28,233
view3,40,[4757],2612,2690,104.48,107.60,65
view3,41,"[4765, 4766]",2623,2624,104.92,104.96,2
view3,42,"[4777, 4784]",2673,2898,106.92,115.92,185
view3,43,"[4796, 4798, 4825, 4835, 4863]",2788,2952,111.52,118.08,92
view3,44,"[4800, 4803]",2798,2803,111.92,112.12,2
view3,45,"[4808, 4812, 4888]",2832,2988,113.28,119.52,153
view3,46,"[4816, 4819]",2840,2844,113.60,113.76,3
view3,47,"[4826, 4839]",2874,2893,114.96,115.72,15
view3,48,[4832],2879,3282,115.16,131.28,377
view3,49,"[4857, 4869]",2920,3022,116.80,120.88,87
view3,50,"[4875, 4879, 5075]",2946,3572,117.84,142.88,525
view3,51,"[4895, 4896, 4922]",3039,3149,121.56,125.96,92
view3,52,[4898],3046,3087,121.84,123.48,41
view3,53,[4900],3058,3058,122.32,122.32,1
view3,54,"[4905, 4939]",3085,3324,123.40,132.96,152
view3,55,"[4911, 4916]",3105,3423,124.20,136.92,248
view3,56,"[4973, 5028]",3246,3463,129.84,138.52,202
view3,57,"[4999, 5057]",3348,3912,133.92,156.48,496
view3,58,[5006],3375,3380,135.00,135.20,6
view3,59,[5032],3414,3752,136.56,150.08,338
view3,60,[5044],3446,3446,137.84,137.84,1
view3,61,"[5062, 5066, 5117, 5126, 5156, 5159]",3519,3860,140.76,154.40,242
view3,62,[5078],3565,3634,142.60,145.36,40
view3,63,[5099],3607,3611,144.28,144.44,2
view3,64,[5129],3719,3823,148.76,152.92,12
view3,65,[5132],3731,3910,149.24,156.40,170
view3,66,[5146],3783,3853,151.32,154.12,39
view3,67,"[5166, 5173]",3877,3912,155.08,156.48,28
view3,68,[5179],3905,3912,156.20,156.48,8
